"","rn","SYSTEM","RELEASE","CLASS","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","NPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC","nextClass","nextLCOM","deltaLCOM","absDeltaLCOM"
"743","364274","tomcat","8.0.0-RC10","org.apache.catalina.webresources.EmptyResource",24,1,1,7,28,266,5,2,24,0.8986,116,1,1,0,0.3125,0,0,3.7083,"org.apache.catalina.webresources.EmptyResource",202,-64,64
"744","364393","tomcat","8.0.0-RC1","org.apache.catalina.webresources.JarResource",16,0,0,7,39,52,1,6,14,0.8133,222,1,0,0,0.3,0,0,12.5625,"org.apache.catalina.webresources.JarResource",0,-52,52
"745","364428","tomcat","8.0.0-RC10","org.apache.catalina.webresources.JarResourceRoot",19,0,0,6,34,155,1,5,16,0.9167,149,1,0,0,0.2917,0,0,6.6316,"org.apache.catalina.webresources.JarResourceRoot",104,-51,51
"746","364558","tomcat","8.0.0-RC10","org.apache.catalina.webresources.StandardRoot",54,0,0,25,160,957,4,23,38,0.8502,1440,1,3,0,163,0,0,25.3704,"org.apache.catalina.webresources.StandardRoot",462,-495,495
"747","364655","tomcat","8.0.0-RC10","org.apache.catalina.webresources.TomcatURLStreamHandlerFactory",10,1,0,3,25,19,2,1,7,0.6111,139,1,1,0,0.2,0,0,12.5,"org.apache.catalina.webresources.TomcatURLStreamHandlerFactory",0,-19,19
"748","364815","tomcat","8.0.0-RC10","org.apache.catalina.WebResourceSet",9,1,0,5,9,36,3,3,9,2,9,0,0,0,0.4,0,0,0,"org.apache.catalina.WebResourceSet",15,-21,21
"749","365296","tomcat","8.0.37","org.apache.catalina.Wrapper",41,1,0,36,41,820,34,2,41,1.025,43,0,0,0,0.1707,0,0,0,"org.apache.catalina.Wrapper",741,-79,79
"750","365340","tomcat","7.0.72","org.apache.coyote.AbstractProcessor",26,1,2,24,45,257,9,15,17,0.8933,199,1,7,0,0.17,0,0,6.3077,"org.apache.coyote.AbstractProcessor",92,-165,165
"751","365425","tomcat","7.0.72","org.apache.coyote.AbstractProtocol",62,1,2,17,124,499,10,7,56,0.8953,802,1,2,0,0.1377,0,0,11.7258,"org.apache.coyote.AbstractProtocol",343,-156,156
"752","366245","tomcat","7.0.72","org.apache.coyote.ajp.AbstractAjpProcessor",37,0,3,36,175,468,6,31,23,0.9239,1904,1,6,0,0.1171,0,0,49.7297,"org.apache.coyote.ajp.AbstractAjpProcessor",250,-218,218
"753","366448","tomcat","7.0.5","org.apache.coyote.ajp.AbstractAjpProtocol",48,1,2,10,96,456,4,6,46,0.9225,511,1,2,0,0.1354,0,0,9.3542,"org.apache.coyote.ajp.AbstractAjpProtocol",7,-449,449
"754","366645","tomcat","6.0.45","org.apache.coyote.ajp.AjpAprProcessor",24,1,0,26,165,90,4,24,14,0.8205,2080,1,11,0,0.1377,0,0,84.375,"org.apache.coyote.ajp.AjpAprProcessor",45,-45,45
"755","366864","tomcat","5.5.10","org.apache.coyote.ajp.AjpAprProtocol",95,1,0,11,163,3385,1,11,88,0.9178,1034,0.8846,1,0,0.1325,0,0,9.6105,"org.apache.coyote.ajp.AjpAprProtocol",240,-3145,3145
"756","367178","tomcat","5.5.36","org.apache.coyote.ajp.AjpMessage",30,1,0,7,71,75,1,6,24,0.5632,1025,0.8333,0,0,0.2026,0,0,32.9667,"org.apache.coyote.ajp.AjpMessage",0,-75,75
"757","367381","tomcat","7.0.20","org.apache.coyote.ajp.AjpNioProcessor",14,0,0,26,80,43,2,25,3,0.5385,799,1,2,0,0.2231,0,0,55.8571,"org.apache.coyote.ajp.AjpNioProcessor",11,-32,32
"758","367628","tomcat","7.0.2","org.apache.coyote.ajp.AjpProcessor",24,1,0,27,156,96,4,25,15,0.8302,2014,1,11,0,0.1149,0,0,81.5833,"org.apache.coyote.ajp.AjpProcessor",42,-54,54
"759","367828","tomcat","7.0.2","org.apache.coyote.ajp.AjpProtocol",48,1,0,11,104,426,2,10,45,0.9202,588,1,3,0,0.1188,0,0,10.9167,"org.apache.coyote.ajp.AjpProtocol",0,-426,426
"760","368910","tomcat","7.0.5","org.apache.coyote.http11.AbstractHttp11Processor",57,1,3,37,155,1380,3,34,36,0.9565,1504,1,4,0,0.1186,0,0,24.8246,"org.apache.coyote.http11.AbstractHttp11Processor",1004,-376,376
