SYSTEM,RELEASE,CLASS,WMC,DIT,NOC,CBO,RFC,CA,CE,LCOM,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,REFACT,LCOM
xerces,1.0.4,org.apache.html.dom.HTMLAppletElementImpl,23.0,0.0,0.0,3.0,26.0,0.0,3.0,2,23.0,2.0,127.0,0.0,0.0,0.0,0.5217,0.0,0.0,45217.0,0.0,2
xerces,1.0.4,org.apache.wml.dom.WMLRefreshElementImpl,5.0,0.0,0.0,4.0,8.0,0.0,4.0,2,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,2
xerces,1.0.4,org.apache.html.dom.HTMLAnchorElementImpl,27.0,0.0,0.0,3.0,35.0,0.0,3.0,112,27.0,2.0,171.0,0.0,0.0,0.0,0.3796,0.0,0.0,53333.0,0.0,112
xerces,1.0.4,org.apache.html.dom.NameNodeListImpl,2.0,0.0,0.0,4.0,10.0,1.0,3.0,112,1.0,2.0,75.0,0.0,0.0,0.0,0.625,0.0,0.0,36.5,0.0,112
xerces,1.0.4,org.apache.wml.dom.WMLInputElementImpl,25.0,0.0,0.0,4.0,32.0,0.0,4.0,112,25.0,2.0,142.0,0.0,0.0,0.0,0.312,0.0,0.0,4.68,0.0,112
xerces,1.0.4,org.apache.wml.dom.WMLBrElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,112,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,112
xerces,1.0.4,org.apache.wml.dom.WMLOneventElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,112,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,112
xerces,1.0.4,org.apache.html.dom.HTMLUListElementImpl,5.0,0.0,0.0,3.0,10.0,0.0,3.0,145,5.0,2.0,28.0,0.0,0.0,0.0,0.45,0.0,0.0,4.6,0.0,145
xerces,1.0.4,org.apache.html.dom.HTMLAreaElementImpl,17.0,0.0,0.0,3.0,27.0,0.0,3.0,145,17.0,2.0,123.0,0.0,0.0,0.0,0.3176,0.0,0.0,62353.0,0.0,145
xerces,1.0.4,org.apache.wml.dom.WMLCardElementImpl,19.0,0.0,0.0,4.0,24.0,0.0,4.0,172,19.0,2.0,107.0,0.0,0.0,0.0,0.3947,0.0,0.0,46316.0,0.0,172
xerces,1.0.4,org.apache.html.dom.HTMLCollectionImpl,9.0,1.0,0.0,9.0,22.0,7.0,2.0,172,3.0,10288.0,377.0,0.1538,1.0,0.0,0.3175,0.0,0.0,394444.0,0.0,172
xerces,1.0.4,org.apache.wml.dom.WMLStrongElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,172,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,172
xerces,1.0.4,org.apache.html.dom.HTMLHRElementImpl,9.0,0.0,0.0,3.0,15.0,0.0,3.0,172,9.0,2.0,52.0,0.0,0.0,0.0,0.4167,0.0,0.0,47778.0,0.0,172
xerces,1.0.4,org.apache.html.dom.HTMLDOMImplementationImpl,4.0,0.0,0.0,2.0,8.0,0.0,2.0,172,2.0,0.6667,31.0,1.0,1.0,0.0,0.5,0.0,0.0,6.5,0.0,172
xerces,1.0.4,org.apache.wml.dom.WMLBElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,149,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,149
xerces,1.0.4,org.apache.wml.dom.WMLTableElementImpl,13.0,0.0,0.0,4.0,18.0,0.0,4.0,149,13.0,2.0,73.0,0.0,0.0,0.0,0.4038,0.0,0.0,46154.0,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLTableRowElementImpl,20.0,0.0,0.0,10.0,42.0,2.0,10.0,149,19.0,1.0,284.0,0.0,1.0,0.0,0.275,0.0,0.0,13.15,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLButtonElementImpl,12.0,0.0,0.0,4.0,22.0,0.0,4.0,149,12.0,2.0,97.0,0.0,0.0,0.0,0.3167,0.0,0.0,70833.0,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLModElementImpl,5.0,0.0,0.0,3.0,8.0,0.0,3.0,149,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLDListElementImpl,3.0,0.0,0.0,2.0,6.0,0.0,2.0,149,3.0,2.0,17.0,0.0,0.0,0.0,0.5,0.0,0.0,46667.0,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLFontElementImpl,7.0,0.0,0.0,3.0,11.0,0.0,3.0,149,7.0,2.0,43.0,0.0,0.0,0.0,0.5714,0.0,0.0,51429.0,0.0,149
xerces,1.0.4,org.apache.html.dom.HTMLQuoteElementImpl,3.0,0.0,0.0,3.0,6.0,0.0,3.0,149,3.0,2.0,17.0,0.0,0.0,0.0,0.6667,0.0,0.0,46667.0,0.0,149
xerces,1.0.4,org.apache.wml.dom.WMLDoElementImpl,15.0,0.0,0.0,4.0,18.0,0.0,4.0,10,15.0,2.0,83.0,0.0,0.0,0.0,0.5333,0.0,0.0,45333.0,0.0,10
xerces,1.0.4,org.apache.html.dom.HTMLFieldSetElementImpl,1.0,0.0,0.0,3.0,2.0,0.0,3.0,10,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,10
xerces,1.0.4,org.apache.html.dom.HTMLMetaElementImpl,9.0,0.0,0.0,3.0,12.0,0.0,3.0,10,9.0,2.0,50.0,0.0,0.0,0.0,0.5556,0.0,0.0,45556.0,0.0,10
xerces,1.0.4,org.apache.html.dom.HTMLInputElementImpl,38.0,0.0,0.0,4.0,49.0,0.0,4.0,10,38.0,2.0,229.0,0.0,0.0,0.0,0.2947,0.0,0.0,50263.0,0.0,10
xerces,1.0.4,org.apache.wml.dom.WMLElementImpl,11.0,0.0,35.0,39.0,17.0,36.0,4.0,10,7.0,2.0,87.0,0.0,0.0,0.0,0.4364,0.0,0.0,69091.0,0.0,10
xerces,1.0.4,org.apache.wml.dom.WMLTdElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,10,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,10
xerces,1.0.4,org.apache.html.dom.HTMLPreElementImpl,3.0,0.0,0.0,3.0,8.0,0.0,3.0,10,3.0,2.0,20.0,0.0,0.0,0.0,0.5,0.0,0.0,56667.0,0.0,10
xerces,1.0.4,org.apache.html.dom.HTMLBodyElementImpl,13.0,0.0,0.0,3.0,16.0,1.0,3.0,10,13.0,2.0,72.0,0.0,0.0,0.0,0.5385,0.0,0.0,45385.0,0.0,10
xerces,1.0.4,org.apache.wml.dom.WMLHeadElementImpl,5.0,0.0,0.0,4.0,8.0,0.0,4.0,41,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,41
xerces,1.0.4,org.apache.html.dom.HTMLTableSectionElementImpl,14.0,0.0,0.0,8.0,29.0,2.0,7.0,41,12.0,1.0,172.0,1.0,1.0,0.0,0.3571,0.0,0.0,112143.0,0.0,41
xerces,1.0.4,org.apache.wml.dom.WMLNoopElementImpl,5.0,0.0,0.0,4.0,8.0,0.0,4.0,41,5.0,2.0,28.0,0.0,0.0,0.0,0.6,0.0,0.0,4.6,0.0,41
xerces,1.0.4,org.apache.html.dom.HTMLElementImpl,23.0,0.0,52.0,56.0,42.0,53.0,4.0,41,17.0,2.0,249.0,0.0,0.0,0.0,0.4565,0.0,0.0,98261.0,0.0,41
xerces,1.0.4,org.apache.wml.dom.WMLImgElementImpl,23.0,0.0,0.0,4.0,26.0,0.0,4.0,41,23.0,2.0,127.0,0.0,0.0,0.0,0.5217,0.0,0.0,45217.0,0.0,41
xerces,1.0.4,org.apache.html.dom.HTMLScriptElementImpl,15.0,0.0,0.0,4.0,31.0,0.0,4.0,41,15.0,2.0,126.0,0.0,0.0,0.0,0.4,0.0,0.0,7.4,0.0,41
xerces,1.0.4,org.apache.html.dom.HTMLMenuElementImpl,3.0,0.0,0.0,2.0,6.0,0.0,2.0,41,3.0,2.0,17.0,0.0,0.0,0.0,0.5,0.0,0.0,46667.0,0.0,41
xerces,1.0.4,org.apache.html.dom.HTMLFormControl,0.0,1.0,0.0,8.0,0.0,8.0,0.0,41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
xerces,1.0.4,org.apache.wml.dom.WMLSetvarElementImpl,9.0,0.0,0.0,4.0,12.0,0.0,4.0,0,9.0,2.0,50.0,0.0,0.0,0.0,0.5556,0.0,0.0,45556.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLSelectElementImpl,21.0,0.0,0.0,4.0,28.0,0.0,4.0,0,21.0,2.0,118.0,0.0,0.0,0.0,0.3143,0.0,0.0,4619.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLObjectElementImpl,35.0,0.0,0.0,4.0,43.0,0.0,4.0,0,35.0,2.0,200.0,0.0,0.0,0.0,0.3086,0.0,0.0,47143.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLDOMImplementationImpl,4.0,0.0,0.0,5.0,8.0,0.0,5.0,0,3.0,0.6667,31.0,0.0,1.0,0.0,0.4444,0.0,0.0,6.5,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLSelectElementImpl,22.0,0.0,0.0,7.0,39.0,0.0,7.0,0,22.0,0.9524,179.0,1.0,1.0,0.0,0.25,0.0,0.0,70909.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLPostfieldElementImpl,9.0,0.0,0.0,4.0,12.0,0.0,4.0,0,9.0,2.0,50.0,0.0,0.0,0.0,0.5556,0.0,0.0,45556.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLStyleElementImpl,7.0,0.0,0.0,3.0,12.0,0.0,3.0,0,7.0,2.0,39.0,0.0,0.0,0.0,0.4286,0.0,0.0,45714.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLHtmlElementImpl,3.0,0.0,0.0,3.0,7.0,1.0,3.0,0,3.0,2.0,19.0,0.0,0.0,0.0,0.6667,0.0,0.0,53333.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLImageElementImpl,27.0,0.0,0.0,3.0,33.0,0.0,3.0,0,27.0,2.0,151.0,0.0,0.0,0.0,0.3889,0.0,0.0,45926.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLMetaElementImpl,15.0,0.0,0.0,4.0,20.0,0.0,4.0,0,15.0,2.0,84.0,0.0,0.0,0.0,0.4,0.0,0.0,4.6,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLMapElementImpl,4.0,0.0,0.0,4.0,8.0,0.0,4.0,0,4.0,1.0,32.0,1.0,1.0,0.0,0.5833,0.0,0.0,6.75,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLLabelElementImpl,5.0,0.0,0.0,4.0,10.0,0.0,4.0,0,5.0,2.0,52.0,0.0,0.0,0.0,0.6,0.0,0.0,9.4,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLTableColElementImpl,13.0,0.0,0.0,3.0,21.0,0.0,3.0,0,13.0,2.0,103.0,0.0,0.0,0.0,0.4038,0.0,0.0,69231.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLAnchorElementImpl,9.0,0.0,0.0,4.0,12.0,0.0,4.0,0,9.0,2.0,50.0,0.0,0.0,0.0,0.5556,0.0,0.0,45556.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLOptGroupElementImpl,5.0,0.0,0.0,3.0,11.0,0.0,3.0,0,5.0,2.0,30.0,0.0,0.0,0.0,0.45,0.0,0.0,5.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLDocumentImpl,4.0,0.0,0.0,39.0,22.0,37.0,3.0,0,2.0,0.9829,578.0,0.0513,0.0,0.0,0.5556,0.0,0.0,133.75,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLBRElementImpl,3.0,0.0,0.0,3.0,7.0,0.0,3.0,0,3.0,2.0,19.0,0.0,0.0,0.0,0.6667,0.0,0.0,53333.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLIFrameElementImpl,21.0,0.0,0.0,3.0,25.0,0.0,3.0,0,21.0,2.0,120.0,0.0,0.0,0.0,0.5238,0.0,0.0,47143.0,0.0,0
xerces,1.0.4,org.apache.wml.dom.WMLIElementImpl,7.0,0.0,0.0,4.0,10.0,0.0,4.0,0,7.0,2.0,39.0,0.0,0.0,0.0,0.5714,0.0,0.0,45714.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLTableElementImpl,36.0,0.0,0.0,9.0,57.0,1.0,9.0,0,35.0,1.0,471.0,1.0,2.0,0.0,0.2143,0.0,0.0,120278.0,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLLegendElementImpl,5.0,0.0,0.0,3.0,10.0,0.0,3.0,0,5.0,2.0,52.0,0.0,0.0,0.0,0.6,0.0,0.0,9.4,0.0,0
xerces,1.0.4,org.apache.html.dom.HTMLDocumentImpl,34.0,0.0,0.0,60.0,83.0,55.0,10.0,1,29.0,0.9697,1012.0,0.8,5.0,0.0,0.2848,0.0,0.0,284706.0,0.0,1
xerces,1.0.4,org.apache.html.dom.HTMLParamElementImpl,9.0,0.0,0.0,3.0,13.0,0.0,3.0,1,9.0,2.0,52.0,0.0,0.0,0.0,0.5556,0.0,0.0,47778.0,0.0,1
